"Código Cliente","Nome Cliente","Email Cliente","Operação","Stiker","Preco","Data","Dia","Mês","Ano"
"30","Larissa Gomes","larissa.gomes94@exemplo.com","Compra","IGTA3","R$ 10.30","01/01/2023","13/02/1900","27","4927"
"78","Gabriela Mendes","gabriela.mendes90@exemplo.com","Venda","VIVT3","R$ 53.30","01/01/2023","13/02/1900","27","4927"
"50","Camila Rocha","camila.rocha10@exemplo.com","Compra","LREN3","R$ 21.69","01/01/2023","13/02/1900","27","4927"
"80","Beatriz Almeida","beatriz.almeida66@exemplo.com","Venda","PETR4","R$ 39.74","02/01/2023","13/02/1900","28","4928"
"68","Sofia Melo","sofia.melo31@exemplo.com","Compra","CSAN3","R$ 17.96","02/01/2023","13/02/1900","28","4928"
"48","Sofia Melo","sofia.melo78@exemplo.com","Venda","ABEV3","R$ 11.95","02/01/2023","13/02/1900","28","4928"
"100","Lucas Cardoso","lucas.cardoso77@exemplo.com","Compra","ITUB4","R$ 24.53","02/01/2023","13/02/1900","28","4928"
"30","Larissa Gomes","larissa.gomes94@exemplo.com","Compra","RENT3","R$ 46.74","02/01/2023","13/02/1900","28","4928"
"81","Clara Costa","clara.costa91@exemplo.com","Venda","VALE3","R$ 65.39","02/01/2023","13/02/1900","28","4928"
"15","Felipe Ribeiro","felipe.ribeiro44@exemplo.com","Venda","BBAS3","R$ 56.68","03/01/2023","13/02/1900","29","4929"
"86","Guilherme Oliveira","guilherme.oliveira36@exemplo.com","Venda","PETR4","R$ 26.99","03/01/2023","13/02/1900","29","4929"
"60","Marcos Costa","marcos.costa57@exemplo.com","Venda","VALE3","R$ 78.94","03/01/2023","13/02/1900","29","4929"
"97","Laura Rodrigues","laura.rodrigues54@exemplo.com","Venda","ITUB4","R$ 30.19","03/01/2023","13/02/1900","29","4929"
"99","Pedro Lima","pedro.lima14@exemplo.com","Venda","BHIA3","R$ 10.91","04/01/2023","13/02/1900","30","4930"
"28","Rafael Cardoso","rafael.cardoso85@exemplo.com","Compra","ITUB4","R$ 23.03","04/01/2023","13/02/1900","30","4930"
"3","Mateus Santos","mateus.santos41@exemplo.com","Compra","LREN3","R$ 20.41","04/01/2023","13/02/1900","30","4930"
"2","Isabella Ferreira","isabella.ferreira95@exemplo.com","Compra","VALE3","R$ 69.74","04/01/2023","13/02/1900","30","4930"
"54","Gustavo Santos","gustavo.santos79@exemplo.com","Venda","JBSS3","R$ 16.26","04/01/2023","13/02/1900","30","4930"
"39","Amanda Rocha","amanda.rocha53@exemplo.com","Venda","VIVT3","R$ 35.96","05/01/2023","13/02/1900","31","4931"
"36","Clara Pereira","clara.pereira11@exemplo.com","Venda","TAEE4","R$ 12.50","05/01/2023","13/02/1900","31","4931"
"43","Luis Rocha","luis.rocha1@exemplo.com","Compra","CPFE3","R$ 38.93","05/01/2023","13/02/1900","31","4931"
"83","Felipe Oliveira","felipe.oliveira37@exemplo.com","Venda","RENT3","R$ 49.41","05/01/2023","13/02/1900","31","4931"
"39","Amanda Rocha","amanda.rocha53@exemplo.com","Venda","ITUB4","R$ 32.28","05/01/2023","13/02/1900","31","4931"
"30","Larissa Gomes","larissa.gomes94@exemplo.com","Compra","BBAS3","R$ 40.18","06/01/2023","13/02/1900","32","4932"
